x_col;y_col_1;y_col_2
Poste à pourvoir immédiatement en CDD de 6 mois.;none;0
Pour une mission intérim à saisir dès que possible sur une durée de 1 mois renouvelable.;none;0
EXPÉRIENCES ET FORMATIONS REQUISES Vous possédez une expérience à ce poste ou une expérience similaire. ;none;0
aquila RH acteur du recrutement en CDI-CDD et intérim dans les secteurs du transport et la logistique, le bâtiment et travaux publics, le tertiaire et commerce, l'industrie et la maintenance.;none;0
Poste à pourvoir en CDD de 35h suivant un planning bien défini nécessitant l'obtention du permis et d'un véhicule. ;both;0
L'employeur met en place toutes les mesures sanitaires (gants, masques, gel hydroalcoolique..) afin de préserver la sécurité de ses employés.;none;0
Un CDD de 3 mois sera établi dans un premier temps.;none;1
Vous êtes diplômé(e) aide-soignant(e) ou AMP, vous aimez le travail en autonomie au sein d'une équipe, vous possédez votre permis de conduire, vous avez un sens du relationnel bien développé et appréciez de travailler auprès des personnes âgées. ;a;0
Permis C, FIMO et carte conducteur à jour obligatoires.;a;0
Contrat en CDD pouvant déboucher sur un contrat pérenne.;none;1
L'agence BPS INTERIM recherche pour l'un de ses clients au vue d'une embauche en CDI un(e) vendeur matelas.;none;0
Venez rencontrer l'employeur lors du forum de Chapareillan, le vendredi 12 avril, de 9h à 12h, dans la salle polyvalente de la commune située rue des écoliers. ;none;0
Poste à pourvoir rapidement sur Bressuire en contrat de travail temporaire avec perspective de CDI.Horaires en 2X8 (du lundi au vendredi) et 35h/semaine. ;none;1
Poste proposé en CDD de quatre mois ou en CDI.;none;1
Vous avez un véhicule.;b;0
Chauffeur / Chauffeuse PL  - avec formation SPL (permis CE) (H/F);a;0
Vous travaillerez du Lundi au vendredi alternativement sur Ris-Orangis et Savigny-sur-Orge (une voiture est donc fortement recommandée).;b;0
Pas desservi, véhicule indispensable, accès par autoroute (non payant).;b;0
RECHERCHE CHAUFFEUR PERMIS EC POUR DE LA DISTRIBUTION DE JOUR EN SEMI. ;none;0
Maîtrise LGPI de préférence. ;none;0
Une période de formation pratique sur les spécificités de nos équipements est a prévoir.;none;0
PERMIS B ET VÉHICULE EXIGE;both;0
 	Manutention des lots avant ou après triage;none;0
Recherche électricien N2 avec nacelle 3 B pour remplacer des éclairages;none;0
- Véhicule souhaité pour faciliter l'accès au site pendant les horaires de nuit ou week-end.;b;0
Avoir obligatoirement le permis SPL et motos afin de bien maîtriser le chargement et la manipulation des motos;none;0
Poste à pourvoir en CDI à l'issue de la validation d'une formation de 6 semaines.;none;1
Permis et véhicule indispensables pour vous déplacer sur les différents lieux d'intervention.;both;0
MANUTENTIONNAIRE (H/F) avec Permis CACES 2 (R389) OBLIGATOIRE;none;0
- Fourniture des outils de travail (gants, blouse... );none;0
Un permis B ainsi que véhicule personnel sont nécessaires pour les déplacements que vous serez amené à faire.;both;0
Commercial(e) débutant(e)ou confirmé(e) dans l'immobilier, vous êtes titulaire du Permis B et possédez un véhicule personnel indispensable pour vos déplacements avec la clientèle.;both;0
JOB&BOX Auray recherche pour un de ses clients, un chauffeur Permis B, sur le secteur d'Auray.;a;0
Bricoleur(se) dans l'âme, touche-à-tout, homme/femme à tout faire, vous ne vous déplacez jamais sans votre caisse-à-outils.;none;0
Titulaire du permis C et Fimo, vous avez des notions en mécaniques et avez le sens du service , nous vous proposons de rejoindre REGIS Location spécialiste de la location de matériels depuis plus de 40 ans.;a;0
Formation interne prévue le poste requiert des déplacements nécessitant de posséder obligatoirement le Permis B et un véhicule Poste à pourvoir de suite . ;both;0
Nous recherchons plus particulièrement des professionnel (le)s pour accompagner les personnes dépendantes (personnes âgées ou handicapées) dans les gestes de la vie quotidienne sur le secteur de PORTES/ MALISSARD/  /BEAUMONT et leurs environs (Permis B + véhicule obligatoires).;both;0
Vous êtes autonome, rigoureux(se) et possédez le permis B et véhiculé afin de vous déplacer sur plusieurs chantiers et outillé, caisse à outils.;both;0
Le véhicule et le permis sont indispensables car vous serez amené à faire des déplacements ponctuel sur la région;both;0
Mobilité : permis B et véhicule souhaités mais non exigés;both;0
Possibilité évolution sur CDI, voir temps plein;none;1
Un Conducteur de Travaux H/F en CDI sur Besançon;none;0
Voiture et permis B exigés pour vous déplacer chez les patients.;both;0
Prérequis: Être titulaire du Baccalauréat, du permis B et d'un véhicule/ Être autonome et organisé(e)/ Avoir un excellent relationnel et un goût prononcé pour le challenge/ Savoir travailler en équipe.;both;0
CDD 3 mois, renouvelable, évolutif;none;1
INDIBAT reherche pour l'un de ses clients et pour longue mission avec possibilité de CDI un Menuisier atelier H/F;none;1
Outils obligatoire;none;0
Les postes à pourvoir sont en CDI temps plein (36h/semaine) sur Paris et la Région Parisienne.;none;0
tenue correct exigé.;none;0
Chargeur nuit Permis C (35 ) (H/F);a;0
Le Permis B et véhicule indispensables afin de vous déplacer sur différentes missions.;both;0
Vous possédez un;none;0
 Véhicule indispensable .;b;0
Mission en intérim avec possibilité de prolongation;none;0
Vous utilisez votre véhicule personnel sur un périmètre cantonal de 25 km (frais seront pris en charge par l'association).;b;0
Tenue : Tenue de service (pantalon, jean non troué, chemise pour le service, chaussures, baskets fermées);none;0
Contrat saisonnier de 4 mois avec possibilité d'évolution dans le temps;none;1
Issu(e) d'une formation dans le transport, vous justifiez d'une expérience de 3 à 4 ans sur un poste similaire Vous êtes titulaire du permis PL, d'une FIMO ou FCO à jour et du CACES 10.;a;0
En tant qu'enquêteur mystère, votre mission sera, de manière anonyme et comme un client classique, de mesurer la qualité et le service des enseignes que vous aurez à visiter. ;none;0
L'agence O2 Chambéry  recherche un professionnel de la petite enfance pour garder 3 enfants les mardis, jeudis et vendredis de 16h à 19h (votre voiture doit pouvoir accueillir 3 sièges autos à l'arrière).;b;0
Bureau Air du CIRFA de Lille : 03 59 00 42 60;none;0
Transport de matériaux et de fournitures de chantier,;none;0
Chargeur nuit permis C H/F  H/F;a;0
Les horaires sont variables entre 6h00 et 20h15.;none;0
Entreprise de Chauffage, Plomberie, Climatisation située dans le 13004 Marseille, recherche un plombier-chauffagiste titulaire d'un CAP ou BEP avec 2 ans d'expérience minimun et disposant du permis B, excellente présentation, pour des travaux réalisés uniquement chez des particuliers, disponible rapidement.;a;0
Vous justifiez d'une expérience d'au moins 1 mois dans le métier et vous êtes titulaire du permis B.;a;0
Formation agricole avec surtout une expérience dans le domaine et permis B. ;a;0
 En véritable Technicien(ne) Vous intervenez sur site, permis B indispensable, et prenez en charge :;a;0
Avant de postuler, vérifiez que vous possédez bien un moyen de locomotion.;b;0
Permis C est suffisant mais le EC serait apprécié pour plus de polyvalence.;a;0
Poste à pourvoir en CDD puis en CDI, 39 heures par semaine,  agence basée sur le secteur de Lure 70.;none;1
Vous serez autonome dans vos déplacements (Permis + véhicule idéalement);both;0
 -  un CDI;none;0
Ces 2 postes nécessitent des déplacements, le permis de conduire est indispensable (véhicule de service ou à défaut, personnel).;b;0
-	des concepts de formations innovants;none;0
Déplacement sur l'Ariège et la Haute Garonne, Permis B obligatoire.;a;0
formateur  au permis B H/F;none;0
CDD de 3 mois à temps plein en vue CDI.;none;1
Vous possédez une expérience dans le domaine du transport et êtes titulaire du permis BE et de la carte conducteur.;a;0
CDI de 35h, à partir du 1er avril;none;0
CDD de 6 mois renouvelable et pouvant déboucher sur un CDI.;none;1
Permis et véhicule sont indispensables pour la réalisation des missions.;both;0
Une première expérience dans le milieu du bâtiment est nécessaire ainsi que le permis B.;a;0
Vous serez en activité professionnelle le matin à partir de 7h30 (plusieurs lieux de travail) et en formation l'après-midi, il est donc nécessaire d'être en possession du permis et d'un véhicule.;both;0
Poste en CDD de 3 mois à pourvoir rapidement / 35 heures / Lundi au vendredi avec un samedi sur 2 de 9h à 12h - CDD de 3 mois potentiellement évolutif;none;1
Chauffeur manutention préparateur de commande av/Permis C (H/F);a;0
Expérience : + 3 ans.;none;0
personne sérieuse ayant le permis et une voiture pour récupérer 2 enfants à la sortie de l'école de St CYR sur le RHONE.;both;0
Vous avez un véhicule pour effectuer les déplacements pour les activités, les rdv médicaux...;b;0
L'habilitation électrique ,le permis B ainsi que le CACES nacelle 1B ou 3B sont exigés.;a;0
Véhicule - Repas - Téléphone;none;0
Il est impératif d'être VEHICULE pour se rendre au sein de la Clinique difficilement accessible par les transports en commun.;b;0
Moyen de locomotion indispensable pour se rendre sur les parcelles.;b;0
Nous recrutons pour un poste en CDD à objectif de CDI, une standardiste en agence immobilière.;none;1
Possibilité de logement gratuit pendant 2 mois suivant les disponibilités, contrat pouvant être amené à devenir pérenne.;none;1
Permis B ou tout autre moyen de locomotion souhaité.;both;0
Permis B requis (déplacement sur La Baule et sur lieux de ventes externes);a;0
être véhiculé(e).;b;0
travail 3 jours par semaine jusqu'à mi mars puis CDD saisonnier jusqu'à fin septembre sur un temps plein;none;0
Obligatoirement véhiculée,;b;0
Nous conseillons d'être véhiculé(e) pour ce poste mais non obligatoire pour autant.;b;0
Permis B obligatoire, véhicule fourni, experience en Nettoyage GMS est un plus.;a;0
EHPAD de haute gamme hôtelière recherche pour un CDD de  8 mois avec évolution possible, un(e) Hote(sse) d'accueil :;none;1
URGENT Mission Intérim de 2 mois avec possibilité de contrat pérenne;none;1
5 OBLIGATOIRE. ;none;0
Un CDD sera proposé dans un premier temps. ;none;1
- Permis B obligatoire et voiture.;both;0
constitué de 6 médecins généralistes et un dentiste;none;0
- Niveau de formation: Permis C et/ou E(C) + FIMO ou Titre professionnel + Carte chronotachygraphe;a;0
Le profil que nous voulons, accueille le/la clientèle en magasin, prend connaissance de sa demande et accompagne la vente en la conseillant pour le choix d'un produit adapté. ;none;0
Être véhiculé/e afin d'accéder chez les clients résidant sur les secteurs de LIMOURS et ARPAJON.;b;0
- Recrutements durables;none;0
Un véhicule serait un plus.;b;0
Rémunération selon convention collective, emploi catégorie B;none;0
IMPERATIF : AVOIR MINIMUM 5 ANS DE PERMIS DE CONDUIRE (par rapport aux contrats d'assurances pour la;a;0
POSSIBILITÉ D'EVOLUTION.;none;0
- Formation dès le début d'activité et accompagnement personnalisé;none;0
BILINGUE ANGLAIS + véhiculé et disponible le mercredi toute la journée;b;0
Poste à pourvoir immédiatement, permis B obligatoire, perspective d'embauche à la suite du BTS. ;a;1
Il est impératif d'être VEHICULE pour se rendre au sein de la Clinique difficilement accessible par les transports en commun;b;0
AS EMPLOI recherche pour son client, Ecole de haut niveau en Management, située à Boulogne Billancourt (92), 1 COORDINATEUR DES RELATIONS INTERNATIONALES CAMPUS PARIS BILINGUE ANGLAIS (H/F) en intérim pour 3 mois à compter du 7 janvier 2019, en vue d'embauche, en CDI.;none;1
Le permis de conduire B et un véhicule personnel sont indispensables pour assurer les prestations.;both;0
-Moyen de locomotion très souhaitable (horaires);b;0
Vous êtes également en capacité d'accompagner les personnes dans leurs déplacements (PERMIS B + véhicule);b;0
Peuvent faire acte de candidature : Les agents titulaires d'un CAP/BEP dans le domaine logistique de préférence, du permis B (avec 3 ans de conduite), du permis C, de la FIMO ou FCO valides (cartes professionnelles à jour) et ayant pour projet d'acquérir le diplôme d'Auxiliaire Ambulancier.;a;0
POSTES A POURVOIR AU PLUS VITE ET EN VUE D'EMBAUCHE.;none;1
Vous avez idéalement une première expérience en industrie sur un poste similaire .Poste à pourvoir à long terme , avec possibilité d'embauche.;none;1
Vous avez le permis de conduire et êtes véhiculé, c'est indispensable !;both;0
Poste à pourvoir dès que possible pour un contrat en intérim de 3 à 6 mois, avec embauche en CDI à terme.;none;1
Vous avez un moyen de locomotion afin de répondre à l'amplitude horaire de travail.;b;0
Un véhicule est demandé pour vous déplacer sur les différents lieux de travail.;b;0
Poste en CDI - Permis de conduire et véhicule indispensables  - PC et connaissances informatiques;both;0
ADEQUAT recrute, pour son client, un commercial H/F en CDI à Bayonne.;none;0
La pratique de l'allemand ou du dialecte alsacien ainsi qu'un moyen locomotion sont indispensables;b;0
Permis et véhicule souhaité mais pas obligatoire. ;both;0
"4)	GA was burned with more than 100 suppliers in the basket to complete your EPC request;";none;0
Avoir sa caisse à outils, permis et véhicule obligatoire;both;0
Poste a pourvoir en intérim en vue d'embauche/CDI;none;1
Compte tenu des déplacements, le véhicule est impératif;b;0
Avoir validé son projet professionnel en lien avec le domicile- Etre mobile (permis et véhicule)- Avoir levé, pour l'essentiel, les éventuels freins à l'entrée en formation (logement, garde d'enfants, transport, )- Avoir un état de santé compatible avec le métier ADVF- Etre disponible pour l'été- Résider sur La Roche sur Yon ou sur la couronne yonnaise/ prochaine information collective recrutement le 22 mars à 14h :  Conditions d'admissions et inscription  auprès de votre conseiller pôle emploi;both;0
-Vous avez de l'expérience dans le ménage, le repassage, la garde d'enfants;none;0
CDD de 4 mois (de maintenant à fin septembre);none;0
Permis de conduire, habilitation à la conduite de tracteur.;a;0
Durée : Mission en vue d'embauche;none;1
Cette expertise s'appuie sur un parcours d'intégration et de formation des auxiliaires de vie spécifique.;none;0
Graphiste / Webdesigner / Intégrateur CDD puis CDI (H/F) H/F;none;1
PERMIS B ET DIPLOMES EXIGES.;a;0
L'entreprise est à la recherche d'un ouvrier menuisier (agenceur si possible) pour surcroît d'activité pour une durée minimum de deux mois avec un cdi à la clé.toutes offres sera étudiées.;none;1
- Participer à l'élaboration de la stratégie commerciale GMS et B to B,;none;0
Nous proposons un contrat CDD, débouchant sur un CDI;none;1
